User_ID,Customer_Name,Customer_Email,Registration_Date,Country,Age,Product_Category,Price,Description
25,Robert Lawrence,grayjenny@example.org,2016-11-08,Canada,25,Home Goods,9.589702495729291,Live I than example.
35,Jose Ramirez,anthonyrivera@example.net,2022-05-23,Germany,28,Clothing,19.480777011817374,Task next per pick new.
30,Todd Navarro,billywilliams@example.org,2020-11-12,Canada,23,Books,84.70323104805763,Item Mr bar author.
52,Tyler Harrington,wvega@example.org,2024-11-13,Australia,65,Books,35.5491375211343,Probably nothing series lot.
55,Ann Tucker,jonesmark@example.com,2025-02-12,UK,57,Clothing,7.260360348109362,Can coach increase writer.
39,Michael Miles,browncody@example.org,2025-04-19,Australia,56,Clothing,26.0053451233331,Itself pretty within.
29,Alan Duffy,vmarshall@example.org,2020-02-17,Canada,56,Electronics,29.687114172733263,Political piece civil value long begin woman.
55,Justin Adams,oneilldustin@example.com,2022-10-26,UK,59,Home Goods,88.69260924963385,Poor building pull marriage health dinner similar.
56,Jerome Morrison,tscott@example.org,2016-06-01,Germany,65,Clothing,77.26645316203233,Yard cut focus camera.
25,Damon Lee,michael22@example.net,2015-12-29,UK,23,Clothing,99.12987719672144,Home people theory employee drop rest.
28,Kara Stewart,alexanderrobinson@example.com,2022-04-01,Australia,47,Electronics,42.367248018468175,Major any affect present but pull material.
35,Tamara Hernandez,patrickmisty@example.net,2015-11-12,Germany,48,Electronics,91.0586623493149,Property list person health else.
20,Amy Pearson,hunttiffany@example.com,2020-07-14,UK,57,Clothing,18.90548792317569,Civil save significant as building cultural record.
24,Donna Benjamin,karen04@example.org,2023-01-14,UK,35,Books,89.81977949291516,Contain your itself together kitchen term appear item.
59,Monique Li,claymary@example.com,2022-06-02,Germany,27,Home Goods,67.88890746226804,Class low affect term life.
44,Richard Mccullough,zmorrison@example.com,2022-05-20,USA,31,Electronics,49.96336262474814,Treatment image artist total place.
38,Walter Campos,scrawford@example.org,2018-12-02,Australia,37,Books,46.50725705286213,Catch building begin blue.
38,Kimberly Patrick,elizabethmerritt@example.org,2016-05-07,Canada,49,Clothing,81.4768049230296,Social see car.
59,Samantha Williams,smithgeorge@example.org,2020-12-07,UK,54,Books,3.5314768361042637,Eat project surface lot decision international yes.
40,Linda Lucas,danastevens@example.org,2022-09-07,UK,46,Home Goods,32.47175549521798,Language sound fish order mean cover.
45,Leah Stevens,andreathompson@example.com,2020-12-17,USA,31,Books,1.0709645609972562,Professor west financial military charge position stay.
64,James Todd,michelle27@example.com,2016-01-22,Germany,21,Home Goods,88.60899507732863,Look political fact even store personal.
19,Teresa Perez,nmorris@example.org,2016-05-06,Germany,58,Books,36.89646088114089,Simple responsibility science always whatever speech.
47,Megan Kim,gbaker@example.net,2020-06-09,USA,33,Electronics,58.649551369029155,Million maintain another end may man.
42,Julie Ramos,laurieramos@example.net,2019-11-20,Germany,57,Books,7.480886394627351,Case also range particularly picture stop thus.
22,Kyle Cruz,garysims@example.com,2018-01-01,USA,50,Clothing,37.18656159399622,Test child relate enjoy read.
51,John Young,lorifrench@example.net,2021-04-06,UK,30,Home Goods,86.79539110341837,Share event economic what.
58,Ronald Brown,meghanjackson@example.org,2022-07-28,Germany,59,Home Goods,5.182363249301092,Believe available a magazine table.
44,Nicole Nelson,oscarjefferson@example.com,2020-12-28,Australia,38,Books,9.008664998371108,General go party computer give.
25,Gail Frye,angela07@example.net,2019-11-07,UK,48,Clothing,73.89397613675415,Month writer eat level after.
54,Mark Scott,jeffreyjennings@example.org,2015-11-13,UK,34,Clothing,32.59875074737998,Street machine watch defense.
53,Mr. Brandon Chung MD,judy60@example.org,2019-06-16,UK,37,Electronics,26.602812830804336,Notice kitchen ten today stop.
53,Jessica Jones,travisrollins@example.com,2019-12-10,Germany,62,Home Goods,56.6699893412112,Difficult will cause yeah.
29,Cory Roman,michelle43@example.com,2023-07-20,USA,47,Home Goods,58.60087851541689,Successful effect style one positive while although.
65,Latoya Williams,qzimmerman@example.net,2019-04-11,Canada,59,Electronics,8.177443306694343,Fact woman I organization decide home population.
65,Michael Petty,laurielynch@example.net,2023-10-23,Australia,62,Clothing,66.13085077134528,Military law perform view.
28,Carla Graham,jackyoung@example.org,2018-08-08,UK,32,Electronics,51.31728895265745,Again organization doctor available notice activity.
42,Warren Bailey,lamcarlos@example.net,2018-03-09,Australia,33,Electronics,21.37960899467597,Case different just certainly west test fire.
52,Christina Mitchell,katherinejacobs@example.com,2024-10-12,USA,47,Electronics,41.51936785124215,Meeting end quality significant put dream.
43,Larry Moss,delgadoelizabeth@example.org,2015-11-22,Australia,19,Home Goods,69.5474974485585,Themselves window response lot after data animal.
21,Jonathan Montgomery,julie23@example.org,2023-06-13,Germany,23,Books,77.47636858553723,Rule through tell inside east rule seven.
45,Matthew Richardson,samantha59@example.org,2015-08-30,Germany,65,Electronics,75.61284274272538,Ball community room.
57,Stephen Miller,taylorball@example.org,2023-05-22,Germany,39,Home Goods,27.925809197289663,Region plant late follow still.
32,Ryan Cross,michaelwhitney@example.com,2023-12-04,Canada,18,Clothing,98.81072665252508,The argue remain pattern theory production.
45,Angela Perez,jwhite@example.org,2024-04-26,Germany,25,Home Goods,60.767117323275954,Author room always detail a.
56,Isabella Boyd,nhahn@example.org,2018-06-06,Australia,59,Home Goods,13.388193413421956,Rise show out box speech.
33,Jeffrey Jones,ryanmueller@example.net,2018-09-04,Canada,22,Home Goods,34.07435078016331,Word protect huge race shoulder.
43,Tamara Stewart,allison22@example.net,2021-12-12,UK,37,Books,57.48429464206246,Room mind question large area.
59,Joshua Petersen,qdavis@example.com,2020-01-15,Canada,60,Electronics,49.33579112488064,Executive home American account art once what.
62,Joseph Barnett,marksanchez@example.org,2018-05-24,UK,23,Clothing,31.40863033399134,Himself phone because customer.
48,Donald Thompson,srichard@example.org,2020-03-16,USA,20,Books,94.23771971302047,Officer pretty understand whose hotel stuff.
27,Michael Weiss,hdaugherty@example.com,2023-05-19,Germany,19,Home Goods,2.2301448334713703,Too anything note card writer series.
65,Brandi Joseph,hannah40@example.org,2024-10-27,UK,28,Clothing,15.992535942089404,Her detail yourself book million.
28,Emily Roberts,vhughes@example.org,2018-12-07,Germany,58,Clothing,53.39721999878915,Whatever staff mention take.
44,Kevin Brown,amandaadams@example.com,2017-06-12,Australia,18,Clothing,9.070198528470108,Republican month class choice.
18,Jessica Miller,vsmith@example.com,2018-08-16,USA,33,Electronics,94.71035296247992,Song protect determine top indeed ball total understand.
28,Heather Stewart,elizabeth27@example.net,2023-11-28,UK,30,Clothing,10.772260252981669,Choice cost far research.
40,Kari Davis,stevencaldwell@example.com,2021-08-21,Canada,62,Books,42.74829434303244,Agent safe drive north success.
58,Sarah Jackson,mollyclark@example.org,2015-11-02,Australia,61,Clothing,43.73722083057924,Commercial interview soldier support get chance including.
47,Mark Nicholson,melissaschmidt@example.com,2024-11-23,Australia,32,Clothing,71.69308973540429,Soon statement his police.
46,Juan Lewis,david92@example.net,2020-05-01,Germany,37,Books,18.21517738933619,Stand bar minute soon.
61,Katherine Johnson,melissa15@example.net,2019-07-23,Germany,33,Home Goods,57.72609634773465,Song guess cell how stand same beautiful.
21,Megan Liu,adennis@example.com,2022-11-18,UK,28,Books,98.49684016152118,Call ahead paper series finally rich.
57,Kathleen Miles,cmcgrath@example.com,2016-06-16,Australia,51,Electronics,67.7735881543634,Consumer few serious rich.
42,Jessica Leon,monroerichard@example.net,2023-09-01,Canada,49,Electronics,35.498365108792086,Loss character hundred wide contain inside color.
62,Kelsey King,williammcgrath@example.org,2017-04-30,Canada,23,Home Goods,26.623491295633496,One paper individual career true beat true heavy.
23,Maxwell Stein MD,christopherhoward@example.org,2015-07-20,USA,58,Clothing,99.19902433136937,Soon order song staff.
61,Savannah Kramer,mwu@example.com,2019-10-02,Australia,26,Clothing,55.93821900197303,Each range baby product.
